mesto_na_lestvici,naslov_pesmi,ime_izvajalca,najvišje_mesto,tednov_na_lestvici
42,Sorry Not Sorry,Demi Lovato,6,30
43,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,11
44,River,Eminem Featuring Ed Sheeran,11,7
45,Outside Today,YoungBoy Never Broke Again,45,3
46,Ric Flair Drip,Offset & Metro Boomin,39,14
47,Lemon,N*E*R*D & Rihanna,40,13
48,BBO (Bad Bitches Only),Migos Featuring 21 Savage,48,1
49,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,23
50,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,19
51,Filthy,Justin Timberlake,9,4
52,Notice Me,Migos Featuring Post Malone,52,1
53,Supastars,Migos,53,1
54,All The Stars,Kendrick Lamar & SZA,43,4
55,Diplomatic Immunity,Drake,7,2
56,Wait,Maroon 5,56,3
57,Yours,Russell Dickerson,49,16
58,Written In The Sand,Old Dominion,58,11
59,Good Old Days,Macklemore Featuring Kesha,54,15
60,Losing Sleep,Chris Young,60,19
61,Five More Minutes,Scotty McCreery,61,9
62,Broken Halos,Chris Stapleton,62,10
63,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,3
64,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",64,1
65,Betrayed,Lil Xan,65,12
66,Pick It Up,Famous Dex Featuring A$AP Rocky,58,12
67,Heaven,Kane Brown,67,6
68,Nowadays,Lil Skies Featuring Landon Cube,55,4
69,You Broke Up With Me,Walker Hayes,67,15
70,Like I Loved You,Brett Young,46,19
71,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,5
72,Echame La Culpa,Luis Fonsi & Demi Lovato,47,11
73,Gang Gang,Migos,73,1
74,One Foot,WALK THE MOON,74,5
75,New Freezer,Rich The Kid Featuring Kendrick Lamar,75,1
76,All On Me,Devin Dawson,76,10
77,No Smoke,YoungBoy Never Broke Again,61,9
78,Tell Me You Love Me,Demi Lovato,53,10
79,La Modelo,Ozuna x Cardi B,52,6
80,Red Roses,Lil Skies Featuring Landon Cube,69,4
81,Rewrite The Stars,Zac Efron & Zendaya,70,5
82,Candy Paint,Post Malone,50,15
83,Higher We Go (Intro),Migos,83,1
84,Legends,Kelsea Ballerini,79,9
85,Auto Pilot,Migos,85,1
86,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,10
87,Emoji A Chain,Migos,87,1
88,Beautiful Trauma,P!nk,88,6
89,Round Here Buzz,Eric Church,56,19
90,Sick Boy,The Chainsmokers,65,2
91,Rubbin Off The Paint,YBN Nahmir,46,13
92,El Farsante,Ozuna & Romeo Santos,92,1
93,IDGAF,Dua Lipa,92,3
94,Most People Are Good,Luke Bryan,94,1
95,Mayores,Becky G Featuring Bad Bunny,74,15
96,CC,Migos Featuring Gucci Mane,96,1
97,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,5
98,MIC Drop,BTS Featuring Desiigner,28,10
99,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",83,3
100,Corazon,Maluma X Nego do Borel,87,5
1,God's Plan,Drake,1,3
2,Perfect,Ed Sheeran,1,24
3,Finesse,Bruno Mars & Cardi B,3,6
4,Havana,Camila Cabello Featuring Young Thug,1,26
5,Rockstar,Post Malone Featuring 21 Savage,1,21
6,New Rules,Dua Lipa,6,28
7,Pray For Me,The Weeknd & Kendrick Lamar,7,1
8,Stir Fry,Migos,8,7
9,Meant To Be,Bebe Rexha & Florida Georgia Line,9,16
10,Bad At Love,Halsey,5,23
11,Thunder,Imagine Dragons,4,41
12,Let You Down,NF,12,17
13,Love.,Kendrick Lamar Featuring Zacari,11,33
14,MotorSport,"Migos, Nicki Minaj & Cardi B",6,15
15,Him & I,G-Eazy & Halsey,15,10
16,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,22
17,Say Something,Justin Timberlake Featuring Chris Stapleton,9,2
18,I Fall Apart,Post Malone,16,20
19,Bodak Yellow (Money Moves),Cardi B,1,32
20,Bartier Cardi,Cardi B Featuring 21 Savage,14,7
21,How Long,Charlie Puth,21,18
22,The Middle,"Zedd, Maren Morris & Grey",22,2
23,Shape Of You,Ed Sheeran,1,57
24,Gummo,6ix9ine,12,13
25,Wolves,Selena Gomez X Marshmello,20,16
26,Feel It Still,Portugal. The Man,4,34
27,Never Be The Same,Camila Cabello,27,8
28,Too Good At Goodbyes,Sam Smith,4,22
29,Mine,Bazzi,29,3
30,Lights Down Low,MAX Featuring gnash,30,18
31,All The Stars,Kendrick Lamar & SZA,31,5
32,Sky Walker,Miguel Featuring Travis Scott,29,20
33,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,20
34,Filthy,Justin Timberlake,9,5
35,Young Dumb & Broke,Khalid,18,30
36,Gucci Gang,Lil Pump,3,22
37,Marry Me,Thomas Rhett,35,10
38,Sorry Not Sorry,Demi Lovato,6,31
39,Outside Today,YoungBoy Never Broke Again,39,4
40,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,41
41,I Get The Bag,Gucci Mane Featuring Migos,11,25
42,River,Eminem Featuring Ed Sheeran,11,8
43,Ric Flair Drip,Offset & Metro Boomin,39,15
44,Lemon,N*E*R*D & Rihanna,40,14
45,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,12
46,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,20
47,Roll In Peace,Kodak Black Featuring XXXTENTACION,31,25
48,Walk It Talk It,Migos Featuring Drake,18,2
49,El Farsante,Ozuna & Romeo Santos,49,2
50,Narcos,Migos,36,2
51,Written In The Sand,Old Dominion,51,12
52,You Make It Easy,Jason Aldean,28,2
53,Good Old Days,Macklemore Featuring Kesha,53,16
54,Five More Minutes,Scotty McCreery,54,10
55,Wait,Maroon 5,55,4
56,The Champion,Carrie Underwood Featuring Ludacris,47,2
57,Pick It Up,Famous Dex Featuring A$AP Rocky,57,13
58,Yours,Russell Dickerson,49,17
59,Broken Halos,Chris Stapleton,59,11
60,New Freezer,Rich The Kid Featuring Kendrick Lamar,60,2
61,Heaven,Kane Brown,61,7
62,You Broke Up With Me,Walker Hayes,62,16
63,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,6
64,Betrayed,Lil Xan,64,13
65,One Foot,WALK THE MOON,65,6
66,Like I Loved You,Brett Young,46,20
67,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,4
68,Echame La Culpa,Luis Fonsi & Demi Lovato,47,12
69,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",69,4
70,Nowadays,Lil Skies Featuring Landon Cube,55,5
71,Losing Sleep,Chris Young,60,20
72,Notice Me,Migos Featuring Post Malone,52,2
73,Man Of The Woods,Justin Timberlake,73,1
74,All On Me,Devin Dawson,74,11
75,Legends,Kelsea Ballerini,75,10
76,No Smoke,YoungBoy Never Broke Again,61,10
77,Red Roses,Lil Skies Featuring Landon Cube,69,5
78,Beautiful Trauma,P!nk,78,7
79,Tell Me You Love Me,Demi Lovato,53,11
80,Candy Paint,Post Malone,50,16
81,Dura,Daddy Yankee,81,1
82,La Modelo,Ozuna x Cardi B,52,7
83,Diplomatic Immunity,Drake,7,3
84,Most People Are Good,Luke Bryan,84,2
85,Rewrite The Stars,Zac Efron & Zendaya,70,6
86,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,11
87,Whatever It Takes,Imagine Dragons,87,2
88,IDGAF,Dua Lipa,88,4
89,BBO (Bad Bitches Only),Migos Featuring 21 Savage,48,2
90,Hardaway,Derez De'Shon,90,1
91,Mayores,Becky G Featuring Bad Bunny,74,16
92,At The Club,Jacquees X Dej Loaf,92,1
93,The Long Way,Brett Eldredge,93,1
94,Singles You Up,Jordan Davis,94,1
95,Criminal,Natti Natasha x Ozuna,95,2
96,Corazon,Maluma X Nego do Borel,87,6
97,Sick Boy,The Chainsmokers,65,3
98,A Girl Like You,Easton Corbin,98,1
99,Rock,Plies,99,2
100,Supplies,Justin Timberlake,71,2
1,God's Plan,Drake,1,4
2,Perfect,Ed Sheeran,1,25
3,Finesse,Bruno Mars & Cardi B,3,7
4,Havana,Camila Cabello Featuring Young Thug,1,27
5,Rockstar,Post Malone Featuring 21 Savage,1,22
6,Look Alive,BlocBoy JB Featuring Drake,6,1
7,Meant To Be,Bebe Rexha & Florida Georgia Line,7,17
8,New Rules,Dua Lipa,6,29
9,All The Stars,Kendrick Lamar & SZA,9,6
10,Stir Fry,Migos,8,8
11,Pray For Me,The Weeknd & Kendrick Lamar,7,2
12,Let You Down,NF,12,18
13,Love.,Kendrick Lamar Featuring Zacari,11,34
14,Him & I,G-Eazy & Halsey,14,11
15,Thunder,Imagine Dragons,4,42
16,Bad At Love,Halsey,5,24
17,The Middle,"Zedd, Maren Morris & Grey",17,3
18,MotorSport,"Migos, Nicki Minaj & Cardi B",6,16
19,I Fall Apart,Post Malone,16,21
20,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,23
21,How Long,Charlie Puth,21,19
22,Mine,Bazzi,22,4
23,Bartier Cardi,Cardi B Featuring 21 Savage,14,8
24,Shape Of You,Ed Sheeran,1,58
25,Bodak Yellow (Money Moves),Cardi B,1,33
26,Wolves,Selena Gomez X Marshmello,20,17
27,Lights Down Low,MAX Featuring gnash,27,19
28,Gummo,6ix9ine,12,14
29,Never Be The Same,Camila Cabello,27,9
30,Feel It Still,Portugal. The Man,4,35
31,Say Something,Justin Timberlake Featuring Chris Stapleton,9,3
32,Young Dumb & Broke,Khalid,18,31
33,Sky Walker,Miguel Featuring Travis Scott,29,21
34,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,21
35,River,Eminem Featuring Ed Sheeran,11,9
36,Marry Me,Thomas Rhett,35,11
37,Outside Today,YoungBoy Never Broke Again,37,5
38,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",38,5
39,Too Good At Goodbyes,Sam Smith,4,23
40,Sorry Not Sorry,Demi Lovato,6,32
41,Ric Flair Drip,Offset & Metro Boomin,39,16
42,Gucci Gang,Lil Pump,3,23
43,Wait,Maroon 5,43,5
44,I Get The Bag,Gucci Mane Featuring Migos,11,26
45,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,42
46,Lemon,N*E*R*D & Rihanna,40,15
47,You Make It Easy,Jason Aldean,28,3
48,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,21
49,X,"ScHoolboy Q, 2 Chainz & Saudi",49,1
50,Roll In Peace,Kodak Black Featuring XXXTENTACION,31,26
51,Five More Minutes,Scotty McCreery,51,11
52,Walk It Talk It,Migos Featuring Drake,18,3
53,New Freezer,Rich The Kid Featuring Kendrick Lamar,53,3
54,Good Old Days,Macklemore Featuring Kesha,53,17
55,Written In The Sand,Old Dominion,51,13
56,El Farsante,Ozuna & Romeo Santos,49,3
57,Heaven,Kane Brown,57,8
58,Narcos,Migos,36,3
59,Broken Halos,Chris Stapleton,59,12
60,Pick It Up,Famous Dex Featuring A$AP Rocky,57,14
61,Dura,Daddy Yankee,61,2
62,Plug Walk,Rich The Kid,62,1
63,The Ways,Khalid & Swae Lee,63,1
64,Yours,Russell Dickerson,49,18
65,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,13
66,You Broke Up With Me,Walker Hayes,62,17
67,Paramedic!,SOB X RBE,67,1
68,Legends,Kelsea Ballerini,68,11
69,Betrayed,Lil Xan,64,14
70,Nowadays,Lil Skies Featuring Landon Cube,55,6
71,Big Shot,Kendrick Lamar & Travis Scott,71,1
72,Friends,Marshmello & Anne-Marie,72,1
73,All On Me,Devin Dawson,73,12
74,Notice Me,Migos Featuring Post Malone,52,3
75,Whatever It Takes,Imagine Dragons,75,3
76,For You (Fifty Shades Freed),Liam Payne & Rita Ora,76,2
77,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,5
78,No Smoke,YoungBoy Never Broke Again,61,11
79,Echame La Culpa,Luis Fonsi & Demi Lovato,47,13
80,Tell Me You Love Me,Demi Lovato,53,12
81,Red Roses,Lil Skies Featuring Landon Cube,69,6
82,Most People Are Good,Luke Bryan,82,3
83,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,7
84,Candy Paint,Post Malone,50,17
85,Hardaway,Derez De'Shon,85,2
86,La Modelo,Ozuna x Cardi B,52,8
87,One Foot,WALK THE MOON,65,7
88,Beautiful Trauma,P!nk,78,8
89,Singles You Up,Jordan Davis,89,2
90,Filthy,Justin Timberlake,9,6
91,Black Panther,Kendrick Lamar,91,1
92,At The Club,Jacquees X Dej Loaf,92,2
93,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,12
94,The Long Way,Brett Eldredge,93,2
95,Rock,Plies,95,3
96,I Like Me Better,Lauv,96,1
97,When We,Tank,86,7
98,Criminal,Natti Natasha x Ozuna,95,3
99,IDGAF,Dua Lipa,88,5
100,Rewrite The Stars,Zac Efron & Zendaya,70,7
1,God's Plan,Drake,1,5
2,Perfect,Ed Sheeran,1,26
3,Finesse,Bruno Mars & Cardi B,3,8
4,Havana,Camila Cabello Featuring Young Thug,1,28
5,Look Alive,BlocBoy JB Featuring Drake,5,2
6,Rockstar,Post Malone Featuring 21 Savage,1,23
7,All The Stars,Kendrick Lamar & SZA,7,7
8,Meant To Be,Bebe Rexha & Florida Georgia Line,7,18
9,Pray For Me,The Weeknd & Kendrick Lamar,7,3
10,Stir Fry,Migos,8,9
11,New Rules,Dua Lipa,6,30
12,Let You Down,NF,12,19
13,The Middle,"Zedd, Maren Morris & Grey",13,4
14,Him & I,G-Eazy & Halsey,14,12
15,Love.,Kendrick Lamar Featuring Zacari,11,35
16,Thunder,Imagine Dragons,4,43
17,Bad At Love,Halsey,5,25
18,Mine,Bazzi,18,5
19,I Fall Apart,Post Malone,16,22
20,Lights Down Low,MAX Featuring gnash,20,20
21,How Long,Charlie Puth,21,20
22,MotorSport,"Migos, Nicki Minaj & Cardi B",6,17
23,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",23,6
24,Shape Of You,Ed Sheeran,1,59
25,Gummo,6ix9ine,12,15
26,Bartier Cardi,Cardi B Featuring 21 Savage,14,9
27,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,24
28,Never Be The Same,Camila Cabello,27,10
29,Wolves,Selena Gomez X Marshmello,20,18
30,Say Something,Justin Timberlake Featuring Chris Stapleton,9,4
31,Young Dumb & Broke,Khalid,18,32
32,Feel It Still,Portugal. The Man,4,36
33,Bodak Yellow (Money Moves),Cardi B,1,34
34,River,Eminem Featuring Ed Sheeran,11,10
35,Outside Today,YoungBoy Never Broke Again,35,6
36,Marry Me,Thomas Rhett,35,12
37,Sky Walker,Miguel Featuring Travis Scott,29,22
38,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,22
39,Wait,Maroon 5,39,6
40,Ric Flair Drip,Offset & Metro Boomin,39,17
41,Sorry Not Sorry,Demi Lovato,6,33
42,You Make It Easy,Jason Aldean,28,4
43,Love Lies,Khalid & Normani,43,1
44,Five More Minutes,Scotty McCreery,44,12
45,Too Good At Goodbyes,Sam Smith,4,24
46,New Freezer,Rich The Kid Featuring Kendrick Lamar,46,4
47,Gucci Gang,Lil Pump,3,24
48,Lemon,N*E*R*D & Rihanna,40,16
49,I Get The Bag,Gucci Mane Featuring Migos,11,27
50,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,22
51,Good Old Days,Macklemore Featuring Kesha,51,18
52,Walk It Talk It,Migos Featuring Drake,18,4
53,Broken Halos,Chris Stapleton,53,13
54,Heaven,Kane Brown,54,9
55,X,"ScHoolboy Q, 2 Chainz & Saudi",49,2
56,El Farsante,Ozuna & Romeo Santos,49,4
57,Dura,Daddy Yankee,57,3
58,Friends,Marshmello & Anne-Marie,58,2
59,Written In The Sand,Old Dominion,51,14
60,Whatever It Takes,Imagine Dragons,60,4
61,Pick It Up,Famous Dex Featuring A$AP Rocky,57,15
62,Narcos,Migos,36,4
63,Most People Are Good,Luke Bryan,63,4
64,You Broke Up With Me,Walker Hayes,62,18
65,Paramedic!,SOB X RBE,65,2
66,Betrayed,Lil Xan,64,15
67,Yours,Russell Dickerson,49,19
68,The Ways,Khalid & Swae Lee,63,2
69,Plug Walk,Rich The Kid,62,2
70,All On Me,Devin Dawson,70,13
71,Tell Me You Love Me,Demi Lovato,53,13
72,La Modelo,Ozuna x Cardi B,52,9
73,Nowadays,Lil Skies Featuring Landon Cube,55,7
74,No Smoke,YoungBoy Never Broke Again,61,12
75,Hardaway,Derez De'Shon,75,3
76,Echame La Culpa,Luis Fonsi & Demi Lovato,47,14
77,Singles You Up,Jordan Davis,77,3
78,Red Roses,Lil Skies Featuring Landon Cube,69,7
79,When We,Tank,79,8
80,The Long Way,Brett Eldredge,80,3
81,Beautiful Trauma,P!nk,78,9
82,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,6
83,Big Shot,Kendrick Lamar & Travis Scott,71,2
84,Candy Paint,Post Malone,50,18
85,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,8
86,At The Club,Jacquees X Dej Loaf,86,3
87,Legends,Kelsea Ballerini,68,12
88,Notice Me,Migos Featuring Post Malone,52,4
89,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,13
90,I Like Me Better,Lauv,90,2
91,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,14
92,For You (Fifty Shades Freed),Liam Payne & Rita Ora,76,3
93,Get You,Daniel Caesar Featuring Kali Uchis,93,1
94,Corazon,Maluma X Nego do Borel,87,7
95,Rock,Plies,95,4
96,IDGAF,Dua Lipa,88,6
97,Rubbin Off The Paint,YBN Nahmir,46,14
98,One Foot,WALK THE MOON,65,8
99,Female,Keith Urban,69,6
100,Mayores,Becky G Featuring Bad Bunny,74,17
1,God's Plan,Drake,1,6
2,Psycho,Post Malone Featuring Ty Dolla $ign,2,1
3,Perfect,Ed Sheeran,1,27
4,Finesse,Bruno Mars & Cardi B,3,9
5,Havana,Camila Cabello Featuring Young Thug,1,29
6,Look Alive,BlocBoy JB Featuring Drake,5,3
7,Meant To Be,Bebe Rexha & Florida Georgia Line,7,19
8,Rockstar,Post Malone Featuring 21 Savage,1,24
9,Pray For Me,The Weeknd & Kendrick Lamar,7,4
10,All The Stars,Kendrick Lamar & SZA,7,8
11,The Middle,"Zedd, Maren Morris & Grey",11,5
12,Stir Fry,Migos,8,10
13,Let You Down,NF,12,20
14,New Rules,Dua Lipa,6,31
15,Him & I,G-Eazy & Halsey,14,13
16,Gummo,6ix9ine,12,16
17,Thunder,Imagine Dragons,4,44
18,I Fall Apart,Post Malone,16,23
19,Love.,Kendrick Lamar Featuring Zacari,11,36
20,Mine,Bazzi,18,6
21,Bad At Love,Halsey,5,26
22,44 More,Logic,22,1
23,Lights Down Low,MAX Featuring gnash,20,21
24,Never Be The Same,Camila Cabello,24,11
25,Wolves,Selena Gomez X Marshmello,20,19
26,Bartier Cardi,Cardi B Featuring 21 Savage,14,10
27,How Long,Charlie Puth,21,21
28,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",23,7
29,Say Something,Justin Timberlake Featuring Chris Stapleton,9,5
30,MotorSport,"Migos, Nicki Minaj & Cardi B",6,18
31,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,25
32,Feel It Still,Portugal. The Man,4,37
33,Young Dumb & Broke,Khalid,18,33
34,Marry Me,Thomas Rhett,34,13
35,Outside Today,YoungBoy Never Broke Again,35,7
36,Ric Flair Drip,Offset & Metro Boomin,36,18
37,Sky Walker,Miguel Featuring Travis Scott,29,23
38,You Make It Easy,Jason Aldean,28,5
39,Wait,Maroon 5,39,7
40,Bodak Yellow (Money Moves),Cardi B,1,35
41,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,23
42,New Freezer,Rich The Kid Featuring Kendrick Lamar,42,5
43,Whatever It Takes,Imagine Dragons,43,5
44,Heaven,Kane Brown,44,10
45,Sorry Not Sorry,Demi Lovato,6,34
46,River,Eminem Featuring Ed Sheeran,11,11
47,Five More Minutes,Scotty McCreery,44,13
48,Good Old Days,Macklemore Featuring Kesha,48,19
49,Broken Halos,Chris Stapleton,49,14
50,Dura,Daddy Yankee,50,4
51,Lemon,N*E*R*D & Rihanna,40,17
52,El Farsante,Ozuna & Romeo Santos,49,5
53,Walk It Talk It,Migos Featuring Drake,18,5
54,Pick It Up,Famous Dex Featuring A$AP Rocky,54,16
55,Plug Walk,Rich The Kid,55,3
56,Friends,Marshmello & Anne-Marie,56,3
57,Most People Are Good,Luke Bryan,57,5
58,Love Lies,Khalid & Normani,43,2
59,Written In The Sand,Old Dominion,51,15
60,Billy,6ix9ine,60,1
61,Want You Back,5 Seconds Of Summer,61,1
62,Nowadays,Lil Skies Featuring Landon Cube,55,8
63,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,7
64,X,"ScHoolboy Q, 2 Chainz & Saudi",49,3
65,Narcos,Migos,36,5
66,Betrayed,Lil Xan,64,16
67,Hardaway,Derez De'Shon,67,4
68,Singles You Up,Jordan Davis,68,4
69,All On Me,Devin Dawson,69,14
70,No Smoke,YoungBoy Never Broke Again,61,13
71,Candy Paint,Post Malone,50,19
72,Yours,Russell Dickerson,49,20
73,RONDO,6ix9ine Featuring Tory Lanez & Young Thug,73,1
74,You Broke Up With Me,Walker Hayes,62,19
75,The Long Way,Brett Eldredge,75,4
76,Paramedic!,SOB X RBE,65,3
77,Red Roses,Lil Skies Featuring Landon Cube,69,8
78,IDGAF,Dua Lipa,78,7
79,Echame La Culpa,Luis Fonsi & Demi Lovato,47,15
80,La Modelo,Ozuna x Cardi B,52,10
81,Booty,Blac Youngsta,81,1
82,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,3
83,Beautiful Trauma,P!nk,78,10
84,Tell Me You Love Me,Demi Lovato,53,14
85,Rubbin Off The Paint,YBN Nahmir,46,15
86,At The Club,Jacquees X Dej Loaf,86,4
87,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,9
88,I Like Me Better,Lauv,88,3
89,Kooda,6ix9ine,50,9
90,The Ways,Khalid & Swae Lee,63,3
91,When We,Tank,79,9
92,Notice Me,Migos Featuring Post Malone,52,5
93,Corazon,Maluma X Nego do Borel,87,8
94,Get You,Daniel Caesar Featuring Kali Uchis,93,2
95,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,14
96,She's With Me,High Valley,96,1
97,Mayores,Becky G Featuring Bad Bunny,74,18
98,Break Up In The End,Cole Swindell,98,1
99,Make Me Feel,Janelle Monae,99,1
100,Rock,Plies,95,5
1,God's Plan,Drake,1,7
2,Perfect,Ed Sheeran,1,28
3,Finesse,Bruno Mars & Cardi B,3,10
4,Psycho,Post Malone Featuring Ty Dolla $ign,2,2
5,Meant To Be,Bebe Rexha & Florida Georgia Line,5,20
6,Havana,Camila Cabello Featuring Young Thug,1,30
7,Look Alive,BlocBoy JB Featuring Drake,5,4
8,The Middle,"Zedd, Maren Morris & Grey",8,6
9,Pray For Me,The Weeknd & Kendrick Lamar,7,5
10,Stir Fry,Migos,8,11
11,All The Stars,Kendrick Lamar & SZA,7,9
12,Rockstar,Post Malone Featuring 21 Savage,1,25
13,Let You Down,NF,12,21
14,New Rules,Dua Lipa,6,32
15,Him & I,G-Eazy & Halsey,14,14
16,Ric Flair Drip,Offset & Metro Boomin,16,19
17,Sad!,XXXTENTACION,17,1
18,Mine,Bazzi,18,7
19,Never Be The Same,Camila Cabello,19,12
20,Thunder,Imagine Dragons,4,45
21,I Fall Apart,Post Malone,16,24
22,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,1
23,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",23,8
24,Lights Down Low,MAX Featuring gnash,20,22
25,Wolves,Selena Gomez X Marshmello,20,20
26,Love.,Kendrick Lamar Featuring Zacari,11,37
27,Bad At Love,Halsey,5,27
28,Gummo,6ix9ine,12,17
29,Bartier Cardi,Cardi B Featuring 21 Savage,14,11
30,Feel It Still,Portugal. The Man,4,38
31,Outside Today,YoungBoy Never Broke Again,31,8
32,Say Something,Justin Timberlake Featuring Chris Stapleton,9,6
33,Marry Me,Thomas Rhett,33,14
34,Whatever It Takes,Imagine Dragons,34,6
35,MotorSport,"Migos, Nicki Minaj & Cardi B",6,19
36,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,26
37,How Long,Charlie Puth,21,22
38,You Make It Easy,Jason Aldean,28,6
39,Wait,Maroon 5,39,8
40,Young Dumb & Broke,Khalid,18,34
41,Sky Walker,Miguel Featuring Travis Scott,29,24
42,Heaven,Kane Brown,42,11
43,Everyday,Logic & Marshmello,43,1
44,New Freezer,Rich The Kid Featuring Kendrick Lamar,42,6
45,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,24
46,No Excuses,Meghan Trainor,46,1
47,Changes,XXXTENTACION,47,1
48,Plug Walk,Rich The Kid,48,4
49,Sorry Not Sorry,Demi Lovato,6,35
50,Good Old Days,Macklemore Featuring Kesha,48,20
51,Broken Halos,Chris Stapleton,49,15
52,Friends,Marshmello & Anne-Marie,52,4
53,Billy,6ix9ine,53,2
54,Dura,Daddy Yankee,50,5
55,Five More Minutes,Scotty McCreery,44,14
56,Lemon,N*E*R*D & Rihanna,40,18
57,Most People Are Good,Luke Bryan,57,6
58,Nowadays,Lil Skies Featuring Landon Cube,55,9
59,Walk It Talk It,Migos Featuring Drake,18,6
60,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,10
61,River,Eminem Featuring Ed Sheeran,11,12
62,Singles You Up,Jordan Davis,62,5
63,Pick It Up,Famous Dex Featuring A$AP Rocky,54,17
64,El Farsante,Ozuna & Romeo Santos,49,6
65,44 More,Logic,22,2
66,Love Lies,Khalid & Normani,43,3
67,All On Me,Devin Dawson,67,15
68,Written In The Sand,Old Dominion,51,16
69,Hardaway,Derez De'Shon,67,5
70,The Champion,Carrie Underwood Featuring Ludacris,47,3
71,IDGAF,Dua Lipa,71,8
72,Betrayed,Lil Xan,64,17
73,Booty,Blac Youngsta,73,2
74,Narcos,Migos,36,6
75,No Smoke,YoungBoy Never Broke Again,61,14
76,Powerglide,Rae Sremmurd & Juicy J,76,1
77,The Long Way,Brett Eldredge,75,5
78,Red Roses,Lil Skies Featuring Landon Cube,69,9
79,When We,Tank,79,10
80,X,Nicky Jam x J Balvin,80,1
81,Beautiful Trauma,P!nk,78,11
82,Candy Paint,Post Malone,50,20
83,La Modelo,Ozuna x Cardi B,52,11
84,I Like Me Better,Lauv,84,4
85,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,4
86,At The Club,Jacquees X Dej Loaf,86,5
87,Rubbin Off The Paint,YBN Nahmir,46,16
88,Echame La Culpa,Luis Fonsi & Demi Lovato,47,16
89,X,"ScHoolboy Q, 2 Chainz & Saudi",49,4
90,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,8
91,Stranger Things,Joyner Lucas & Chris Brown,91,1
92,Paramedic!,SOB X RBE,65,4
93,She's With Me,High Valley,93,2
94,Tell Me You Love Me,Demi Lovato,53,15
95,Get You,Daniel Caesar Featuring Kali Uchis,93,3
96,Tempo,Chris Brown,96,1
97,Corazon,Maluma X Nego do Borel,87,9
98,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,98,1
99,I Lived It,Blake Shelton,99,1
100,Broken Clocks,SZA,100,1
1,God's Plan,Drake,1,8
2,Perfect,Ed Sheeran,1,29
3,Finesse,Bruno Mars & Cardi B,3,11
4,Meant To Be,Bebe Rexha & Florida Georgia Line,4,21
5,Psycho,Post Malone Featuring Ty Dolla $ign,2,3
6,The Middle,"Zedd, Maren Morris & Grey",6,7
